transcript	RIBO_GMP_Ven_A	RIBO_GMP_Ven_B	RIBO_GMP_vehicle_A	RIBO_GMP_vehicle_B	RIBO_HSC_Ven_A	RIBO_HSC_Ven_B	RIBO_HSC_vehicle_A	RIBO_HSC_vehicle_B	RIBO_GMP_Ven_A_21	RIBO_GMP_Ven_B_21	RIBO_GMP_vehicle_A_21	RIBO_GMP_vehicle_B_21	RIBO_HSC_Ven_A_21	RIBO_HSC_Ven_B_21	RIBO_HSC_vehicle_A_21	RIBO_HSC_vehicle_B_21
Emc6	25	7	14	21	5	1	16	13	7	7	6	4	14	1	7	4
Emc7	254	117	174	205	157	44	152	194	59	25	48	42	102	18	60	70
Emc8	37	17	16	24	20	2	18	21	11	2	7	7	17	1	4	10
Emc9	6	4	5	8	3	2	6	9	2	0	0	3	4	2	1	1
Emcn	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Emd	111	39	53	57	91	31	86	74	19	5	15	9	56	6	17	25
Eme1	52	32	36	48	41	12	42	39	17	6	14	2	29	14	10	11
Eme2	10	2	5	5	5	3	8	9	3	1	0	1	7	3	4	7
Emg1	196	82	106	117	106	39	106	116	38	15	34	30	97	10	52	35
Emid1	3	2	4	1	1	1	2	0	2	0	3	0	0	1	0	1
Emilin1	560	237	366	400	243	114	362	379	131	42	87	85	186	55	136	130
Emilin2	588	238	464	369	332	163	380	513	103	59	131	77	292	69	174	185
Emilin3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eml1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eml2	121	54	77	93	57	27	80	61	20	14	26	19	42	12	24	33
Eml3	149	59	90	99	114	29	105	108	41	18	40	17	122	16	55	43
Eml4	223	88	139	133	184	56	148	128	45	14	38	21	97	23	44	33
Eml5	134	69	65	179	168	34	165	123	36	21	27	53	141	11	100	62
Eml6	5	2	1	3	10	2	1	7	3	0	4	1	7	2	4	3
Emp1	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1
Emp2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Emp3	70	31	27	49	35	8	45	39	30	4	8	23	21	6	10	18
Emsy	51	11	17	32	30	8	24	19	11	4	21	9	23	5	10	13
Emx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
En1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
En2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enah	6	2	3	6	1	0	2	3	4	1	4	1	0	0	2	0
Enam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enc1	11	2	8	6	11	2	9	12	1	2	0	2	5	0	4	1
Endod1	27	10	12	30	45	9	37	27	1	2	5	3	31	5	11	10
Endog	3	0	2	2	5	1	0	1	0	0	1	2	5	1	0	1
Endou	0	0	3	1	0	3	1	2	0	0	1	0	0	1	0	1
Endov	11	2	9	7	9	1	5	8	7	5	3	1	12	4	6	10
Eng	15	4	5	13	3	1	7	7	4	2	1	1	0	1	2	6
Engase	43	23	31	39	21	7	31	19	9	5	6	16	42	4	12	7
Enho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enkd1	21	10	11	19	17	5	29	16	7	4	6	4	15	3	10	5
Enkur	0	1	3	0	0	0	0	1	0	1	1	0	1	0	0	0
Eno1	68	36	53	48	105	45	59	62	23	13	16	17	48	33	34	24
Eno1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eno2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eno3	18	4	3	7	13	4	4	7	3	2	2	2	7	6	9	6
Eno4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enoph1	107	45	63	61	83	32	91	84	20	11	14	8	45	14	31	30
Enox1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0
Enox2	40	22	39	36	42	13	30	40	11	2	7	8	15	6	13	10
Enpep	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
Enpp1	0	1	0	0	0	0	1	3	0	0	0	1	1	0	0	0
Enpp2	0	1	0	0	0	0	2	3	0	1	0	0	0	0	0	0
Enpp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enpp4	20	8	5	18	3	2	7	2	4	4	2	4	4	0	3	2
Enpp5	21	15	17	18	2	2	5	3	5	3	5	3	1	0	2	2
Enpp6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Enpp7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ensa	67	35	49	51	47	12	65	57	12	8	6	8	36	6	27	28
Enthd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entpd1	239	132	192	220	72	50	132	157	34	35	46	64	34	15	49	50
Entpd2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
Entpd3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Entpd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entpd4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entpd5	20	7	11	19	22	5	13	22	3	2	4	4	19	8	3	12
Entpd6	71	33	66	68	62	20	66	55	22	6	15	13	70	11	24	36
Entpd7	114	41	66	60	78	8	72	71	22	5	24	12	66	8	27	28
Entpd8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entr1	7	2	13	2	6	2	5	4	8	2	6	4	16	1	5	10
Eny2	75	19	44	36	33	3	27	26	13	3	5	6	12	4	11	6
Eogt	11	4	7	5	3	0	6	3	2	0	1	0	2	0	1	1
Eomes	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
Ep300	434	193	273	271	362	122	274	255	159	67	130	110	337	96	214	171
Ep400	503	203	356	310	436	189	266	238	177	87	188	130	532	139	241	201
Epas1	2	0	1	2	3	1	2	1	1	0	3	0	1	0	0	1
Epb41	192	65	109	102	154	50	148	109	47	20	48	22	132	33	64	52
Epb41l1	1	0	1	0	3	2	1	2	0	0	1	0	1	0	1	0
Epb41l2	159	71	90	85	139	69	116	107	27	13	21	18	90	40	24	31
Epb41l3	7	2	7	8	5	2	7	9	0	0	2	1	2	0	6	5
Epb41l4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epb41l4b	0	0	0	0	2	1	0	2	0	0	0	0	1	1	3	0
Epb41l5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epb42	0	0	1	0	0	6	0	1	0	0	0	0	1	3	0	0
Epc1	103	25	52	65	72	14	89	49	39	12	24	14	66	12	52	37
Epc2	91	20	49	30	70	15	50	37	25	11	9	11	47	11	20	26
Epcam	3	1	4	0	0	0	2	4	0	1	0	0	0	0	0	0
Epdr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epg5	94	35	64	63	96	31	35	49	20	7	22	17	89	14	35	26
Epgn	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Epha1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Epha10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha2	53	6	16	10	35	16	34	33	10	0	7	6	33	16	24	16
Epha3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Epha5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Epha7	616	473	605	542	3	5	1	5	104	81	114	109	3	2	0	0
Epha8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ephb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephb6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephx1	4	2	1	4	4	0	7	5	0	0	1	0	3	0	1	1
Ephx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephx4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epm2a	2	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1
Epm2aip1	48	13	35	37	32	8	47	39	9	5	8	10	17	4	20	6
Epn1	146	65	128	116	275	48	208	210	86	29	67	46	315	61	183	175
Epn2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Epn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epop	7	1	6	2	1	0	3	2	3	1	2	4	10	3	2	3
Epor	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0
Epp13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eppin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eppk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eprs	811	362	581	491	651	308	364	333	149	77	115	84	316	121	110	80
Eps15	301	117	204	190	211	72	213	199	58	26	53	46	161	30	94	74
Eps15l1	199	94	116	135	144	70	154	149	58	11	25	38	82	28	32	32
Eps8	3	2	1	1	7	3	6	3	1	0	0	0	5	0	1	2
Eps8l1	12	3	7	14	8	1	11	10	6	2	3	3	16	1	10	13
Eps8l2	0	0	0	0	2	1	4	1	0	0	0	0	0	0	0	0
Eps8l3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epsti1	122	56	56	94	92	44	109	87	22	7	22	20	73	12	35	40
Epx	48	80	60	50	32	96	15	51	6	14	8	16	18	72	1	22
Epyc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eqtn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Eral1	95	39	46	53	20	11	29	25	7	9	15	11	16	3	9	9
Erap1	660	315	455	483	388	169	403	488	143	59	114	164	138	76	123	153
Eras	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erbb2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Erbb3	74	26	58	43	63	15	63	46	18	8	27	3	68	7	30	32
Erbb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erbin	1261	561	877	899	1071	293	833	785	344	178	327	272	755	175	414	411
Erc1	61	20	35	26	25	7	17	12	9	1	12	11	20	7	8	3
Erc2	2	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0
Ercc1	26	11	25	25	33	15	29	27	2	0	6	1	9	2	3	2
Ercc2	27	17	20	26	21	10	26	24	5	3	10	4	16	3	12	4
Ercc3	201	83	103	118	114	31	98	73	46	24	40	24	107	24	36	36
Ercc4	51	20	33	32	28	9	44	44	13	3	14	10	48	13	25	22
Ercc5	42	17	25	24	21	3	11	18	6	5	8	7	11	2	11	7
Ercc6	110	57	68	80	92	62	93	67	44	16	33	29	70	29	52	25
Ercc6l	159	51	102	76	167	55	65	71	40	11	20	15	72	31	27	18
Ercc6l2	42	10	31	26	40	11	20	20	14	9	15	7	54	6	24	13
Ercc8	13	2	7	5	29	3	13	9	6	1	5	0	24	6	11	8
Ereg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erf	8	2	5	5	8	2	7	12	7	2	4	1	10	2	4	6
Erfe	7	3	5	8	1	0	6	5	2	0	0	1	1	1	0	2
Erg	134	66	101	93	87	65	99	108	34	20	36	29	76	21	59	40
Erg28	28	5	9	14	6	4	16	19	6	1	1	0	10	1	2	3
Ergic1	41	7	9	16	22	2	10	20	13	2	7	6	28	7	15	13
Ergic2	57	14	34	39	26	6	25	25	14	5	13	4	26	3	14	6
Ergic3	316	168	177	257	121	54	143	188	69	38	53	63	107	30	64	88
Erh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eri1	178	65	106	100	103	13	96	84	32	10	31	9	69	9	28	23
Eri2	59	10	20	28	22	8	20	25	11	4	10	2	28	5	9	14
Eri3	18	7	17	28	14	6	22	13	8	2	3	3	17	7	9	10
Erich1	65	27	39	48	41	21	47	50	9	6	14	14	19	6	18	21
Erich2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erich3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Erich4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erich5	18	15	17	31	19	2	30	28	2	6	3	8	8	0	8	2
Erich6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Erich6b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erlec1	223	129	165	170	106	38	115	134	42	25	48	42	57	16	44	30
Erlin1	206	88	137	177	121	30	131	126	44	16	35	28	72	17	47	62
Erlin2	158	68	100	118	65	24	70	90	30	12	24	25	37	12	28	31
Ermap	0	1	1	0	0	2	0	2	0	0	0	0	0	2	0	0
Ermard	22	9	14	14	23	8	16	11	6	2	4	6	17	2	11	7
Ermn	0	0	2	0	0	1	0	1	0	0	1	0	0	0	2	1
Ermp1	190	72	113	141	78	24	88	118	38	23	23	28	58	20	37	41
Ern1	92	33	56	79	94	29	82	82	22	9	14	21	73	21	45	48
Ern2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ero1l	337	126	192	231	201	50	241	268	62	28	67	53	120	27	87	82
Ero1lb	52	17	25	40	23	5	36	51	8	3	9	1	21	5	10	9
Erp27	3	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0
Erp29	684	328	380	525	501	165	489	548	163	84	140	134	329	81	206	215
Erp44	309	121	179	182	114	39	134	165	45	14	38	42	50	12	33	29
Errfi1	0	1	2	1	1	0	3	2	1	0	3	1	3	0	0	2
Erv3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esco1	59	25	44	34	70	5	55	49	22	8	29	7	58	3	38	33
Esco2	112	55	67	56	66	27	67	40	11	6	18	15	43	16	22	17
Esd	139	47	88	78	72	30	70	67	30	14	23	26	23	13	23	28
Esf1	335	137	283	177	230	96	146	116	42	21	45	25	79	28	33	24
Esm1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0
Esp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esp8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Espl1	101	51	83	70	153	76	51	67	44	20	35	35	164	49	53	38
Espn	4	1	3	0	7	0	5	8	2	0	1	1	5	0	5	2
Espnl	8	3	7	5	4	1	4	0	3	0	3	4	5	0	4	0
Esr1	8	5	3	10	8	1	12	15	1	0	2	2	11	6	2	5
Esr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esrp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esrp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esrra	23	5	7	17	26	3	24	21	10	5	9	8	57	7	30	24
Esrrb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esrrg	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ess2	88	45	66	75	75	13	64	51	17	6	13	16	48	11	30	22
Esx1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0
Esyt1	738	289	461	492	436	150	405	419	172	83	158	115	346	94	181	189
Esyt2	136	35	71	91	69	8	77	68	23	4	25	15	45	7	32	28
Esyt3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Etaa1	43	14	35	24	55	12	33	29	15	3	12	10	61	7	14	18
Etd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etf1	391	189	304	267	306	62	200	178	94	49	94	54	207	43	76	70
Etfa	299	140	184	213	202	75	154	163	72	28	55	50	104	35	56	56
Etfb	230	158	155	188	152	60	149	174	51	34	29	43	78	22	60	47
Etfbkmt	6	3	3	5	2	2	6	3	2	0	3	1	5	1	1	2
Etfbl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etfdh	207	80	132	123	122	61	118	123	38	22	31	33	55	17	39	41
Etfrf1	31	9	11	27	14	3	23	16	3	0	3	0	7	0	2	6
Ethe1	43	18	23	38	14	8	27	28	4	4	2	4	12	7	12	7
Etl4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
Etnk1	76	38	44	64	71	25	70	81	13	6	14	13	37	19	40	30
Etnk2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Etnppl	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1
Ets1	42	14	23	21	28	6	41	39	6	3	4	12	30	6	17	11
Ets2	28	11	11	16	12	4	12	16	4	5	3	4	8	5	7	8
Etv1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etv2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etv3	9	6	4	3	3	1	6	4	3	5	7	1	18	2	7	5
Etv4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etv5	16	6	8	3	7	4	4	3	1	0	0	2	3	1	1	1
Etv6	98	28	63	65	49	12	84	62	39	13	27	15	59	20	51	44
Eva1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eva1b	11	2	6	6	0	0	5	9	1	1	3	2	4	0	4	1
Eva1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evc2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
Evi2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evi2a	159	67	87	133	50	15	106	120	19	9	16	25	42	16	36	27
Evi2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evi5	96	33	70	37	71	18	70	64	21	11	28	15	64	7	31	33
Evi5l	17	3	11	13	13	0	14	6	5	0	4	5	18	5	11	13
Evl	38	23	40	40	85	44	92	99	8	4	8	12	58	15	43	26
Evpl	12	4	9	7	12	3	8	4	1	0	3	4	15	1	5	5
Evx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ewsr1	637	487	587	629	500	256	389	362	122	84	124	135	327	141	146	126
Exd1	8	1	1	2	1	1	6	0	2	1	1	0	0	0	0	0
Exd2	67	28	43	49	21	8	22	14	13	4	9	12	16	4	14	10
Exo1	81	22	47	47	57	17	31	36	16	7	18	14	46	10	16	17
Exo5	25	18	17	15	28	8	14	20	12	3	6	9	41	3	16	6
Exoc1	192	73	127	133	223	79	165	119	29	19	34	19	82	23	37	37
Exoc2	158	75	117	115	143	62	101	93	30	12	34	23	69	29	49	29
Exoc3	122	35	61	69	107	25	87	65	28	7	18	20	93	22	29	28
Exoc3l	1	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0
Exoc3l2	2	0	2	0	1	0	1	1	2	0	0	1	2	1	0	1
Exoc3l4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Exoc4	246	90	155	149	207	119	145	134	43	20	24	33	99	48	50	53
Exoc5	166	50	98	102	133	26	98	72	30	8	28	23	84	12	34	21
Exoc6	215	104	185	174	266	90	216	210	45	24	39	38	179	47	73	80
Exoc6b	3	2	6	7	3	0	7	6	2	1	1	3	2	0	1	2
Exoc7	106	51	79	91	117	41	106	110	25	12	26	17	98	27	53	46
Exoc8	85	28	61	76	96	33	104	80	26	6	22	17	82	23	45	35
Exog	54	14	21	23	21	3	14	23	6	0	4	8	10	5	3	8
Exosc1	55	21	32	46	48	12	41	40	14	4	6	11	31	8	21	21
Exosc10	229	89	145	137	195	97	118	87	53	24	38	33	171	36	63	51
Exosc2	231	91	153	147	123	37	118	90	46	13	28	42	86	15	40	34
Exosc3	181	88	124	136	142	33	107	102	16	13	25	23	57	16	27	27
Exosc4	29	17	26	27	38	12	21	24	11	2	4	3	28	7	7	14
Exosc5	67	21	42	46	40	12	41	43	19	12	20	18	61	9	33	28
Exosc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exosc7	294	135	187	221	187	77	206	206	53	27	40	50	81	33	46	59
Exosc8	251	111	188	157	167	67	180	139	48	29	39	41	61	29	47	34
Exosc9	262	116	185	193	156	64	122	126	41	21	42	35	64	18	39	33
Exph5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Ext1	2	1	0	1	6	3	6	5	0	0	0	0	7	1	4	1
Ext2	190	72	118	129	84	29	95	161	49	21	45	53	77	29	46	66
Extl1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Extl2	9	7	4	8	5	0	9	9	5	0	3	1	10	1	5	3
Extl3	2	0	2	1	7	4	3	3	3	2	5	1	14	3	6	2
Eya1	148	77	103	110	79	24	71	71	47	16	48	40	63	9	29	31
Eya2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya3	133	49	73	76	77	25	65	56	29	12	16	24	80	19	34	23
Eya4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ezh1	75	11	26	30	29	16	36	29	15	6	7	4	33	10	28	8
Ezh2	464	188	319	316	390	108	277	242	135	50	75	75	305	67	140	111
Ezr	493	239	289	279	233	114	294	236	101	49	109	59	146	65	104	80
F10	710	332	549	542	357	79	618	665	171	93	166	168	293	60	292	294
F11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F11r	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
F12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F13a1	842	384	780	393	1635	891	1048	1054	160	103	223	94	823	436	418	380
F13b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1
F2r	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
F2rl1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
F2rl2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
F2rl3	7	4	0	5	2	0	5	4	1	0	2	0	0	1	1	0
F3	0	0	0	3	3	0	0	1	0	0	0	0	1	1	1	0
F5	707	429	660	559	373	149	537	621	135	84	155	141	145	48	187	191
F7	66	52	72	40	26	13	33	39	7	13	14	3	13	7	11	12
F8	0	0	0	0	1	0	2	1	1	0	0	0	1	0	0	0
F830016B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F830045P16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F8a	3	4	0	0	2	1	0	1	0	0	0	0	6	1	2	0
F9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FQ976806.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fa2h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faah	1	0	0	0	1	1	2	3	0	0	0	0	0	0	1	2
Faap100	16	5	8	21	16	1	10	11	3	2	6	4	18	1	7	8
Faap20	1	2	2	1	1	2	1	1	3	1	2	0	2	0	0	1
Faap24	17	6	20	10	26	1	11	10	6	1	8	5	13	5	7	4
Fabp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fabp12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fabp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fabp3	0	0	0	0	2	0	0	3	0	0	0	0	2	0	0	0
Fabp4	13	10	3	7	10	1	11	10	1	3	1	2	5	0	3	2
Fabp5	101	64	83	106	176	64	146	164	20	15	26	26	106	29	54	61
Fabp6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fabp7	2	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0
Fabp9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fadd	33	23	11	26	16	1	23	24	8	3	2	5	17	0	4	10
Fads1	20	10	14	17	7	6	15	15	5	1	7	4	12	2	6	8
Fads2	10	3	11	1	3	1	2	6	0	0	2	0	2	1	2	3
Fads3	0	0	0	0	0	0	3	5	0	0	0	0	1	0	0	1
Fads6	9	5	10	3	2	0	3	3	0	2	5	1	2	0	1	1
Faf1	494	227	304	341	376	116	291	275	92	36	84	67	223	51	100	94
Faf2	155	100	126	121	103	45	131	149	42	19	35	21	66	20	39	42
Fah	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Fahd1	35	19	20	18	19	6	18	18	7	2	5	5	11	4	10	10
Fahd2a	34	19	25	28	29	5	24	15	4	3	6	5	12	7	9	7
Faim	146	43	79	101	102	22	111	94	36	21	25	31	56	13	47	30
Faim2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Faiml	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Fam102a	9	4	13	12	12	0	18	12	9	2	8	5	9	1	13	12
Fam102b	26	10	16	24	30	8	23	19	18	4	10	7	32	3	19	25
Fam104a	25	6	8	14	9	5	12	11	10	8	6	3	26	5	13	12
Fam107a	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Fam107b	626	282	371	418	394	122	420	390	182	93	160	115	318	77	214	198
Fam110a	27	13	24	28	17	5	28	24	12	4	12	5	41	13	13	17
Fam110b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam110c	0	2	5	5	2	0	3	2	0	0	1	0	1	0	2	0
Fam111a	619	214	371	356	438	135	327	291	94	37	83	62	181	50	100	81
Fam114a1	24	11	17	21	13	10	20	17	3	6	6	4	10	4	11	9
Fam114a2	135	71	69	106	61	23	88	95	22	12	9	26	45	10	34	22
Fam117a	72	31	47	48	62	29	82	80	17	8	17	14	62	21	43	55
Fam117b	81	42	60	58	78	14	61	78	38	9	23	19	81	22	50	45
Fam118a	24	6	27	26	23	4	7	15	9	5	14	5	17	4	8	11
Fam118b	44	21	33	37	37	9	34	19	8	3	11	13	29	6	10	8
Fam120a	411	176	275	263	405	102	305	308	144	69	146	109	462	86	226	209
Fam120b	25	12	17	14	23	6	22	19	9	3	5	7	34	5	21	10
Fam120c	18	2	5	1	7	0	6	7	2	0	0	3	7	4	1	0
Fam122a	8	0	0	4	3	1	3	0	4	2	1	2	4	0	4	2
Fam122b	16	5	12	6	12	1	3	4	6	1	4	3	11	0	3	5
Fam122c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam124a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam124b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam126a	133	51	77	90	73	27	52	55	25	7	15	14	35	5	18	14
Fam126b	62	21	34	32	21	1	18	19	18	7	14	19	25	1	10	17
