	RNA_HSC_vehicle_B	RNA_HSC_Ven_A	RNA_HSC_vehicle_A	RNA_HSC_Ven_B	RNA_GMP_Ven_A	RNA_GMP_vehicle_A	RNA_GMP_Ven_B	RNA_GMP_vehicle_B
Gabbr2-201	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Anks6-201	0.0	0.0	3.0	5.0	7.0	0.0	0.0	0.0
Galnt12-201	27.0	24.0	25.0	15.0	135.0	25.0	34.0	27.0
Col15a1-202	3.0	0.0	4.0	9.0	1.0	0.0	1.0	0.0
Tgfbr1-201	340.0	373.0	553.0	398.0	314.0	64.0	33.0	57.0
Alg2-201	205.0	243.0	303.0	248.0	266.0	19.0	32.0	4.0
Sec61b-201	1496.0	1447.0	1326.0	1175.0	1187.0	3802.0	735.0	5752.0
Nr4a3-201	0.0	4.0	2.0	0.0	1.0	1.0	0.0	0.0
Stx17-202	197.0	148.0	251.0	164.0	197.0	54.0	65.0	54.0
Erp44-201	2864.0	2693.0	2993.0	2575.0	2501.0	614.0	817.0	969.0
Invs-201	63.0	69.0	84.0	47.0	72.0	4.0	1.0	3.0
Tex10-206	2374.0	2273.0	2299.0	1954.0	1942.0	320.0	311.0	262.0
Msantd3-203	32.0	17.0	24.0	41.0	37.0	43.0	5.0	6.0
Tmeff1-201	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0
Cavin4-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Plppr1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acnat2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acnat1-201	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Baat-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mrpl50-201	445.0	464.0	440.0	339.0	371.0	205.0	109.0	325.0
Zfp189-202	121.0	112.0	132.0	76.0	122.0	6.0	21.0	4.0
Aldob-201	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem246-201	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Rnf20-210	934.0	929.0	1212.0	963.0	913.0	465.0	271.0	467.0
Grin3a-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Ppp3r2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cylc2-201	0.0	0.0	2.0	0.0	0.0	4.0	0.0	2.0
Smc2-201	4788.0	4992.0	5498.0	4183.0	3887.0	1551.0	983.0	1438.0
Toporsl-202	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Olfr275-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Olfr273-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr272-203	2.0	0.0	0.0	1.0	3.0	1.0	2.0	0.0
Olfr270-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nipsnap3a-204	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0
Nipsnap3b-201	1926.0	1831.0	1940.0	1616.0	1494.0	252.0	377.0	324.0
Abca1-201	9.0	11.0	13.0	6.0	42.0	10.0	11.0	4.0
Slc44a1-201	34.0	33.0	66.0	34.0	35.0	5.0	7.0	8.0
Fsd1l-203	7.0	14.0	3.0	2.0	4.0	2.0	5.0	0.0
Fktn-203	107.0	88.0	104.0	59.0	65.0	4.0	15.0	1.0
Tal2-201	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
Tmem38b-201	1168.0	968.0	1178.0	997.0	941.0	540.0	327.0	260.0
Zfp462-203	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0
Rad23b-201	1475.0	1644.0	1587.0	1456.0	1373.0	94.0	354.0	158.0
Klf4-201	15.0	14.0	18.0	12.0	36.0	22.0	11.0	23.0
Actl7b-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm26657-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actl7a-201	0.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0
Elp1-201	977.0	1031.0	1185.0	1017.0	868.0	144.0	143.0	86.0
Abitram-201	205.0	190.0	218.0	151.0	179.0	40.0	44.0	56.0
Ctnnal1-201	79.0	68.0	145.0	101.0	59.0	3.0	22.0	3.0
Tmem245-202	94.0	76.0	94.0	79.0	62.0	12.0	8.0	1.0
Frrs1l-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Epb41l4b-201	2.0	8.0	11.0	2.0	29.0	9.0	7.0	2.0
Ptpn3-201	6.0	0.0	1.0	0.0	16.0	6.0	4.0	0.0
Pakap-215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pakap-213	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Pakap-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D630039A03Rik-201	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0
Txn1-201	2573.0	2173.0	2475.0	2109.0	1961.0	7552.0	1137.0	7307.0
Txndc8-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Svep1-201	27.0	62.0	36.0	96.0	2.0	1.0	1.0	0.0
Musk-202	5.0	0.0	1.0	6.0	2.0	0.0	0.0	0.0
Lpar1-203	92.0	73.0	96.0	56.0	53.0	5.0	1.0	0.0
Olfr267-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ecpas-202	10461.0	8354.0	12901.0	8230.0	4006.0	1699.0	682.0	1122.0
Zkscan16-201	3.0	2.0	2.0	2.0	1.0	0.0	0.0	0.0
Ptgr1-201	6382.0	5379.0	6530.0	5124.0	1295.0	1355.0	576.0	1669.0
Dnajc25-201	545.0	553.0	605.0	523.0	193.0	139.0	93.0	234.0
Gm20503-201	2.0	2.0	2.0	2.0	0.0	1.0	1.0	0.0
Gng10-201	0.0	6.0	0.0	0.0	119.0	33.0	45.0	50.0
Shoc1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Ugcg-201	407.0	508.0	568.0	436.0	405.0	18.0	49.0	22.0
Susd1-201	2262.0	2095.0	2742.0	2114.0	2051.0	100.0	311.0	57.0
Ptbp3-202	2829.0	2437.0	2807.0	2122.0	2320.0	130.0	278.0	104.0
Hsdl2-201	1875.0	1572.0	2079.0	1328.0	2160.0	143.0	445.0	183.0
E130308A19Rik-202	167.0	166.0	246.0	144.0	136.0	26.0	22.0	9.0
Inip-201	284.0	268.0	313.0	250.0	241.0	46.0	52.0	42.0
Snx30-201	43.0	52.0	59.0	37.0	81.0	40.0	39.0	26.0
Slc46a2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup4-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup6-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup7-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup8-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup9-204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup1-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup10-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup11-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup12-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup22-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup13-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup14-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup15-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup16-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup17-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup18-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup19-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup5-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup20-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup3-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup21-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp37-201	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
Slc31a2-201	365.0	344.0	464.0	335.0	519.0	43.0	99.0	90.0
Fkbp15-201	1360.0	1341.0	1715.0	1309.0	1397.0	237.0	262.0	151.0
Slc31a1-201	236.0	245.0	306.0	272.0	246.0	3.0	80.0	36.0
Cdc26-201	484.0	387.0	422.0	409.0	376.0	981.0	204.0	753.0
Prpf4-201	659.0	667.0	690.0	562.0	598.0	64.0	118.0	89.0
Rnf183-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wdr31-203	5.0	3.0	11.0	2.0	2.0	0.0	2.0	0.0
Bspry-201	4.0	7.0	13.0	6.0	5.0	1.0	0.0	0.0
Hdhd3-201	22.0	20.0	27.0	15.0	22.0	43.0	16.0	75.0
Alad-202	252.0	291.0	403.0	277.0	300.0	428.0	160.0	496.0
Pole3-201	496.0	356.0	440.0	355.0	341.0	475.0	119.0	722.0
4933430I17Rik-201	0.0	2.0	3.0	1.0	2.0	0.0	0.0	0.0
Rgs3-202	152.0	151.0	179.0	92.0	201.0	12.0	39.0	35.0
Zfp618-203	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0
Ambp-201	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
Kif12-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Col27a1-201	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Orm1-201	30.0	13.0	8.0	9.0	22.0	48.0	9.0	12.0
Orm3-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Orm2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Akna-201	2048.0	2470.0	3704.0	2317.0	3059.0	245.0	497.0	233.0
Whrn-203	0.0	0.0	0.0	1.0	13.0	3.0	2.0	0.0
Atp6v1g1-201	810.0	812.0	739.0	724.0	1051.0	2355.0	571.0	2309.0
Tmem268-201	15.0	38.0	24.0	33.0	100.0	8.0	26.0	9.0
Gm11213-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tex48-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11214-201	2.0	1.0	3.0	2.0	0.0	2.0	0.0	0.0
Tnfsf15-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tnfsf8-201	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Tnc-204	26.0	10.0	28.0	23.0	75.0	2.0	3.0	7.0
Pappa-201	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0
Astn2-201	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trim32-201	127.0	196.0	155.0	131.0	111.0	8.0	36.0	6.0
Tlr4-201	488.0	455.0	496.0	457.0	218.0	29.0	16.0	12.0
Brinp1-201	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Cdk5rap2-206	806.0	848.0	1222.0	798.0	797.0	252.0	143.0	214.0
Megf9-202	390.0	445.0	739.0	352.0	458.0	2.0	43.0	9.0
Gm11232-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tle1-202	198.0	255.0	264.0	176.0	67.0	6.0	21.0	6.0
Aldoart1-202	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Gm11487-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11238-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11237-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11236-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11239-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm428-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rasef-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11758-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11757-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13871-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11756-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310002L09Rik-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Frmd3-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kdm4c-201	1102.0	1113.0	1257.0	945.0	990.0	81.0	141.0	21.0
Dmac1-201	390.0	304.0	272.0	324.0	262.0	791.0	183.0	840.0
Ptprd-206	10.0	7.0	1.0	2.0	5.0	0.0	0.0	0.0
Tyrp1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lurap1l-201	0.0	0.0	0.0	0.0	7.0	2.0	1.0	0.0
Mpdz-201	1.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0
Nfib-201	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0
Zdhhc21-201	101.0	106.0	137.0	94.0	121.0	3.0	12.0	4.0
Cer1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Frem1-201	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Ttc39b-203	29.0	29.0	53.0	36.0	24.0	5.0	5.0	9.0
Snapc3-201	379.0	361.0	310.0	296.0	263.0	106.0	99.0	176.0
Psip1-201	1694.0	1631.0	1789.0	1337.0	1722.0	1018.0	553.0	1026.0
Ccdc171-204	10.0	6.0	25.0	3.0	11.0	0.0	5.0	0.0
Bnc2-215	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Cntln-202	181.0	226.0	244.0	232.0	199.0	216.0	49.0	124.0
Sh3gl2-201	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
Adamtsl1-203	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
Saxo1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Rraga-201	698.0	674.0	775.0	693.0	603.0	165.0	224.0	141.0
Haus6-201	1074.0	1106.0	1216.0	994.0	728.0	77.0	107.0	63.0
Plin2-201	4857.0	4994.0	4773.0	3130.0	4680.0	1158.0	1662.0	1481.0
Dennd4c-204	359.0	388.0	453.0	331.0	357.0	37.0	27.0	10.0
Rps6-201	15105.0	13554.0	12304.0	12340.0	11391.0	26693.0	6745.0	43660.0
Acer2-201	14.0	4.0	7.0	8.0	3.0	1.0	0.0	0.0
Slc24a2-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mllt3-201	89.0	72.0	110.0	101.0	46.0	19.0	29.0	19.0
Focad-201	448.0	374.0	394.0	354.0	337.0	66.0	46.0	60.0
Hacd4-201	536.0	482.0	692.0	409.0	552.0	460.0	283.0	502.0
Ifnb1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna15-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna14-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna9-201	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Ifna12-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C87499-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna13-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna16-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifnab-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klhl9-201	548.0	624.0	621.0	488.0	476.0	63.0	71.0	47.0
Gm26566-201	3.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0
Gm13271-201	1.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0
Gm13283-201	0.0	4.0	2.0	2.0	2.0	0.0	0.0	0.0
Gm13290-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13289-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13272-201	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifnz-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Gm13276-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13277-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13278-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13275-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13279-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13285-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13287-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13288-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna7-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna11-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna6-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna5-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna4-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifna1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifne-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mtap-201	426.0	500.0	476.0	399.0	323.0	77.0	93.0	63.0
Cdkn2a-202	22.0	24.0	26.0	28.0	39.0	99.0	20.0	73.0
Cdkn2b-201	0.0	3.0	3.0	5.0	2.0	1.0	1.0	0.0
Dmrta1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp352-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elavl2-202	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Izumo3-201	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Tusc1-201	44.0	60.0	77.0	75.0	46.0	29.0	21.0	29.0
Caap1-201	382.0	369.0	415.0	380.0	293.0	153.0	110.0	49.0
Plaa-201	2289.0	2113.0	2373.0	1879.0	1725.0	639.0	451.0	539.0
Ift74-201	114.0	137.0	103.0	124.0	122.0	53.0	43.0	69.0
Lrrc19-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tek-203	3.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0
Eqtn-201	4.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Mysm1-201	286.0	223.0	254.0	213.0	206.0	111.0	62.0	82.0
Jun-201	60.0	44.0	56.0	62.0	191.0	125.0	62.0	84.0
Fggy-202	6.0	17.0	19.0	8.0	59.0	30.0	13.0	31.0
Hook1-201	3.0	2.0	3.0	1.0	9.0	5.0	4.0	5.0
Cyp2j13-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2j12-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2j7-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2j11-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2j8-201	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyp2j6-201	6.0	0.0	1.0	8.0	0.0	0.0	0.0	0.0
Cyp2j9-201	0.0	0.0	0.0	1.0	10.0	2.0	1.0	0.0
Cyp2j5-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm12695-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E130114P18Rik-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nfia-202	13.0	9.0	22.0	14.0	16.0	0.0	1.0	0.0
Tm2d1-202	875.0	721.0	765.0	674.0	712.0	553.0	251.0	355.0
Patj-202	4.0	6.0	1.0	0.0	0.0	0.0	2.0	1.0
L1td1-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kank4-201	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
I0C0044D17Rik-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Usp1-201	4981.0	4450.0	5418.0	4509.0	4222.0	829.0	988.0	633.0
Dock7-214	537.0	525.0	691.0	560.0	347.0	33.0	36.0	18.0
Angptl3-201	27.0	33.0	24.0	8.0	26.0	13.0	8.0	20.0
Atg4c-201	238.0	250.0	258.0	233.0	290.0	8.0	39.0	25.0
Gm12689-201	1.0	1.0	0.0	0.0	1.0	3.0	2.0	5.0
Foxd3-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alg6-201	557.0	508.0	643.0	442.0	358.0	22.0	63.0	14.0
Itgb3bp-204	313.0	264.0	257.0	190.0	157.0	408.0	97.0	386.0
Efcab7-201	171.0	170.0	117.0	135.0	125.0	11.0	31.0	18.0
Pgm1-201	1795.0	1759.0	2285.0	1963.0	1603.0	133.0	514.0	138.0
Ror1-201	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
Ube2u-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cachd1-201	1.0	2.0	9.0	6.0	0.0	0.0	0.0	0.0
Raver2-201	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Jak1-201	4176.0	4414.0	6048.0	4318.0	5103.0	309.0	764.0	328.0
Ak4-203	3.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0
Dnajc6-202	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
Leprot-201	666.0	498.0	711.0	587.0	380.0	175.0	131.0	106.0
Lepr-202	4.0	1.0	1.0	3.0	16.0	0.0	8.0	0.0
B020004J07Rik-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C130073F10Rik-201	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
Gm12800-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm12794-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm12790-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm12789-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pde4b-207	275.0	207.0	377.0	281.0	479.0	21.0	93.0	35.0
Sgip1-201	2285.0	2112.0	2500.0	1866.0	2347.0	74.0	395.0	106.0
Tctex1d1-202	574.0	450.0	835.0	472.0	507.0	360.0	162.0	388.0
Insl5-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wdr78-203	13.0	19.0	29.0	9.0	7.0	3.0	4.0	3.0
Mier1-205	221.0	187.0	190.0	167.0	504.0	278.0	94.0	365.0
Slc35d1-203	265.0	214.0	271.0	197.0	112.0	5.0	17.0	17.0
4921539E11Rik-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oma1-201	1017.0	921.0	1119.0	720.0	787.0	319.0	271.0	387.0
Dab1-203	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
C8b-201	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0
C8a-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fyb2-201	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Prkaa2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plpp3-201	1.0	0.0	0.0	4.0	4.0	0.0	6.0	0.0
Gm12728-202	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Usp24-201	570.0	610.0	816.0	606.0	462.0	170.0	49.0	176.0
Pcsk9-201	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Bsnd-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem61-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dhcr24-201	253.0	239.0	358.0	325.0	157.0	14.0	44.0	52.0
Lexm-202	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Ttc22-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pars2-201	167.0	128.0	218.0	175.0	113.0	4.0	44.0	20.0
Ttc4-201	480.0	451.0	442.0	371.0	373.0	115.0	134.0	70.0
Mroh7-201	3.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0
Fam151a-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acot11-202	88.0	107.0	136.0	108.0	109.0	2.0	26.0	3.0
Ssbp3-201	237.0	265.0	340.0	247.0	215.0	86.0	87.0	105.0
Mrpl37-201	961.0	891.0	1187.0	860.0	768.0	495.0	354.0	690.0
Cyb5rl-203	54.0	71.0	67.0	57.0	68.0	40.0	20.0	25.0
Cdcp2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tceanc2-202	168.0	135.0	157.0	163.0	121.0	23.0	64.0	58.0
Tmem59-201	5970.0	5826.0	6754.0	5532.0	5964.0	1638.0	2163.0	1626.0
Ldlrad1-201	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Lrrc42-201	20.0	20.0	32.0	23.0	24.0	21.0	15.0	18.0
Hspb11-201	2.0	3.0	5.0	5.0	9.0	20.0	6.0	13.0
Dio1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Yipf1-201	689.0	612.0	846.0	561.0	651.0	304.0	273.0	432.0
Ndc1-204	2517.0	2708.0	2808.0	2121.0	1513.0	128.0	197.0	102.0
Glis1-201	1.0	2.0	2.0	1.0	0.0	2.0	1.0	0.0
Dmrtb1-201	0.0	1.0	3.0	2.0	5.0	4.0	0.0	5.0
Lrp8-218	132.0	136.0	186.0	131.0	187.0	24.0	25.0	14.0
Magoh-201	999.0	975.0	829.0	762.0	749.0	2462.0	410.0	3003.0
Czib-212	309.0	270.0	243.0	251.0	249.0	464.0	144.0	670.0
Cpt2-201	494.0	567.0	638.0	520.0	514.0	131.0	161.0	148.0
Slc1a7-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Podn-203	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Scp2-201	3521.0	3079.0	3670.0	2753.0	3653.0	1674.0	1342.0	2144.0
Echdc2-201	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Zyg11a-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zyg11b-201	276.0	322.0	403.0	225.0	214.0	14.0	23.0	5.0
Coa7-202	220.0	164.0	194.0	203.0	144.0	85.0	70.0	177.0
Shisal2a-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpx7-201	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Tut4-201	5.0	9.0	21.0	15.0	79.0	30.0	16.0	19.0
Prpf38a-201	1513.0	1507.0	1414.0	1199.0	1134.0	363.0	467.0	753.0
Orc1-201	409.0	394.0	397.0	400.0	418.0	101.0	74.0	59.0
Cc2d1b-201	650.0	584.0	906.0	760.0	729.0	158.0	188.0	130.0
Zfyve9-202	13.0	14.0	0.0	10.0	30.0	16.0	6.0	22.0
3110021N24Rik-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Btf3l4-204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Txndc12-201	414.0	425.0	501.0	319.0	388.0	148.0	154.0	213.0
Kti12-201	464.0	524.0	460.0	446.0	451.0	250.0	168.0	131.0
Rab3b-202	0.0	3.0	4.0	0.0	3.0	0.0	5.0	0.0
Nrd1-201	4008.0	3915.0	5162.0	3774.0	3581.0	1235.0	935.0	1225.0
