Name	Description	GMP_Ven_A	GMP_Ven_B	GMP_vehicle_A	GMP_vehicle_B	HSC_Ven_A	HSC_Ven_B	HSC_vehicle_A	HSC_vehicle_B
Derl1	NA	0.05	0.05	0.05	0.06	0.04	0.04	0.04	0.05
Derl2	NA	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.01
Det1	NA	0.04	0.04	0.02	0.02	0.06	0.09	0.06	0.07
Dffa	NA	0.04	0.08	0.06	0.05	0.07	0.09	0.07	0.07
Dffb	NA	0.13	0.14	0.09	0.1	0.12	0.06	0.14	0.1
Dgat1	NA	0.11	0.09	0.11	0.1	0.09	0.05	0.09	0.08
Dgat2	NA	0.06	0.03	0.05	0.05	0.1	0.1	0.04	0.04
Dgcr6	NA	0.04	0.02	0.06	0.04	0.03	0.02	0.09	0.07
Dgcr8	NA	0.19	0.18	0.15	0.22	0.24	0.07	0.2	0.17
Dgka	NA	0.12	0.13	0.15	0.1	0.18	0.28	0.13	0.1
Dgkd	NA	0.12	0.12	0.12	0.12	0.2	0.09	0.11	0.13
Dgke	NA	0.1	0.08	0.11	0.16	0.11	0.08	0.13	0.14
Dgkg	NA	0.1	0.14	0.15	0.12	0.26	0.23	0.12	0.16
Dgkh	NA	0.08	0.06	0.12	0.26	0.74	0.35	0.09	0.07
Dgkq	NA	0.09	0.15	0.13	0.12	4.63	11.92	0.1	0.2
Dgkz	NA	0.1	0.12	0.11	0.1	0.39	0.4	0.15	0.18
Dglucy	NA	0.13	0.16	0.11	0.13	0.43	0.67	0.11	0.28
Dguok	NA	0.13	0.16	0.13	0.2	0.07	0.23	0.16	0.09
Dhcr24	NA	0.31	0.41	0.47	0.28	0.1	0.15	0.36	0.39
Dhcr7	NA	0.08	0.16	0.11	0.1	0.16	0.39	0.1	0.18
Dhdds	NA	0.11	0.1	0.1	0.13	0.12	0.22	0.14	0.19
Dhdh	NA	0.13	0.17	0.17	0.15	0.06	0.08	0.29	0.33
Dhfr	NA	0.09	0.07	0.06	0.12	0.03	0.05	0.11	0.08
Dhodh	NA	0.05	0.06	0.04	0.05	0.06	0.06	0.04	0.04
Dhps	NA	0.12	0.09	0.07	0.12	0.05	0.07	0.18	0.13
Dhrs1	NA	0.14	0.13	0.15	0.16	0.1	0.14	0.14	0.11
Dhrs11	NA	0.07	0.03	0.07	0.06	0.05	0.13	0.1	0.1
Dhrs13	NA	0.12	0.04	0.03	0.05	0.02	0	0.09	0.07
Dhrs3	NA	0.07	0.03	0.09	0.17	0.08	0.23	0.11	0.08
Dhrs4	NA	0.32	0.33	0.32	0.36	0.07	0.18	0.26	0.13
Dhrs7	NA	0.14	0.17	0.17	0.19	0.05	0.1	0.14	0.13
Dhrs7b	NA	0.14	0.1	0.09	0.13	0.03	0.03	0.11	0.07
Dhx15	NA	0.22	0.21	0.2	0.19	0.34	0.61	0.19	0.22
Dhx16	NA	0.18	0.19	0.18	0.16	0.31	0.21	0.25	0.21
Dhx29	NA	0.13	0.11	0.11	0.12	0.32	0.44	0.11	0.13
Dhx30	NA	0.13	0.13	0.11	0.11	0.46	0.21	0.1	0.16
Dhx32	NA	0.06	0.01	0.04	0.03	0.13	0.08	0.06	0.03
Dhx33	NA	0.11	0.05	0.07	0.07	0.3	0.17	0.08	0.2
Dhx34	NA	0.15	0.17	0.16	0.15	0.73	0.42	0.25	0.18
Dhx35	NA	0.2	0.27	0.23	0.18	0.31	0.12	0.14	0.18
Dhx36	NA	0.14	0.13	0.15	0.14	0.19	0.23	0.1	0.14
Dhx37	NA	0.28	0.28	0.2	0.26	0.45	0.25	0.17	0.21
Dhx38	NA	0.31	0.33	0.38	0.3	0.63	0.63	0.35	0.43
Dhx40	NA	0.23	0.17	0.18	0.13	0.18	0.16	0.16	0.19
Dhx57	NA	0.16	0.15	0.2	0.19	0.21	0.33	0.15	0.28
Dhx58	NA	0.09	0.1	0.1	0.15	0.14	0.29	0.12	0.1
Dhx8	NA	0.18	0.23	0.23	0.16	0.49	0.83	0.22	0.33
Dhx9	NA	1.4	1.61	1.68	1.3	0.91	1.62	0.88	0.86
Diaph1	NA	1.06	1.23	1.28	1.17	0.41	0.25	1.04	0.91
Diaph2	NA	0.2	0.24	0.27	0.21	0.36	0.45	0.17	0.27
Diaph3	NA	0.2	0.25	0.27	0.27	0.18	0.22	0.17	0.28
Dicer1	NA	0.28	0.23	0.43	0.23	0.36	0.12	0.29	0.32
Dido1	NA	0.41	0.48	0.36	0.43	0.47	0.47	0.42	0.58
Dimt1	NA	0.04	0.02	0.04	0.03	0.02	0.05	0.03	0.02
Dio2	NA	0.03	0.04	0.02	0.06	0.04	0.02	0.05	0.06
Dip2a	NA	0.24	0.33	0.14	0.16	0.66	0.28	0.22	0.32
Dip2b	NA	0.17	0.21	0.26	0.18	0.29	0.21	0.16	0.25
Dip2c	NA	0.25	0.28	0.39	0.22	0.58	0.19	0	0
Dipk1a	NA	0.06	0.03	0.05	0.06	0.06	0.02	0.04	0.05
Dipk2a	NA	0.18	0.23	0.25	0.31	0.16	0.12	0.15	0.26
Dis3	NA	0.19	0.21	0.17	0.22	0.36	0.37	0.14	0.13
Dis3l	NA	0.15	0.19	0.21	0.16	0.46	0.5	0.21	0.19
Dis3l2	NA	0.16	0.12	0.16	0.1	0.19	0.36	0.12	0.09
Disc1	NA	0.55	0.94	0.25	0.37	0.43	1.46	0.71	0.71
Disp1	NA	0.14	0.23	0.21	0.1	0.35	0.62	0.16	0.38
Dkc1	NA	0.14	0.1	0.11	0.1	0.06	0.09	0.1	0.09
Dlat	NA	0.15	0.16	0.15	0.12	0.15	0.18	0.13	0.12
Dld	NA	0.14	0.14	0.15	0.13	0.1	0.13	0.07	0.08
Dlg1	NA	0.22	0.19	0.19	0.22	0.22	0.15	0.2	0.2
Dlgap4	NA	0.13	0.14	0.06	0.09	0.11	0.17	0.18	0.16
Dlgap5	NA	0.19	0.22	0.22	0.2	0.42	1.13	0.22	0.24
Dlst	NA	0.24	0.26	0.27	0.21	0.17	0.09	0.25	0.2
Dmac1	NA	0.02	0.01	0.02	0.02	0	0	0.02	0.01
Dmac2	NA	0.07	0.07	0.06	0.11	0.1	0.11	0.11	0.08
Dmap1	NA	0.14	0.11	0.15	0.13	0.05	0.1	0.09	0.06
Dmc1	NA	0.12	0.12	0.1	0.15	0.08	0.05	0.13	0.12
Dmtf1	NA	0.02	0.02	0.02	0.03	0.05	0.02	0.03	0.05
Dmxl1	NA	0.32	0.17	0.22	0.29	0.35	0.14	0.14	0.21
Dmxl2	NA	0.4	0.47	0.7	0.48	0.51	0.22	0.65	0.57
Dna2	NA	0.11	0.1	0.1	0.1	0.17	0.11	0.12	0.2
Dnaaf5	NA	0.05	0.03	0.03	0.06	0.24	0.16	0.08	0.12
Dnah12	NA	0.17	0.1	0.36	0.16	0.69	0.17	0.2	0.06
Dnah8	NA	0.96	1.04	0.8	1.61	1.35	1.2	1.17	1.08
Dnaja1	NA	0.24	0.18	0.12	0.15	0.09	0.13	0.14	0.11
Dnaja2	NA	0.18	0.15	0.15	0.13	0.1	0.17	0.13	0.09
Dnaja3	NA	0.1	0.1	0.08	0.08	0.11	0.11	0.06	0.07
Dnajb1	NA	0.11	0.1	0.07	0.11	0.1	0.2	0.11	0.11
Dnajb11	NA	0.26	0.28	0.2	0.25	0.19	0.2	0.18	0.14
Dnajb12	NA	0.13	0.16	0.14	0.13	0.09	0.11	0.14	0.17
Dnajb14	NA	0.15	0.12	0.16	0.15	0.02	0.04	0.15	0.09
Dnajb4	NA	0.19	0.16	0.18	0.12	0.24	0.12	0.17	0.17
Dnajb6	NA	0.07	0.06	0.06	0.07	0.05	0.03	0.06	0.05
Dnajb9	NA	0.1	0.05	0.06	0.07	0.05	0.05	0.06	0.1
Dnajc1	NA	0.39	0.32	0.29	0.36	0.07	0.07	0.21	0.14
Dnajc10	NA	0.1	0.07	0.09	0.07	0.13	0.09	0.07	0.11
Dnajc11	NA	0.17	0.18	0.17	0.17	0.18	0.21	0.22	0.13
Dnajc12	NA	0.06	0.06	0.07	0.05	0.05	0.03	0.06	0.06
Dnajc13	NA	0.25	0.25	0.33	0.22	0.57	0.59	0.22	0.35
Dnajc14	NA	0.09	0.08	0.11	0.11	0.24	0.1	0.1	0.11
Dnajc15	NA	0.14	0.1	0.09	0.09	0.01	0.01	0.08	0.06
Dnajc16	NA	0.25	0.38	0.4	0.4	0.23	0.12	0.29	0.6
Dnajc17	NA	0.78	0.84	0.79	0.62	0.12	1.09	0.57	0.55
Dnajc18	NA	0.16	0.13	0.2	0.18	0.13	0.08	0.12	0.14
Dnajc19	NA	0.06	0.02	0.03	0.03	0.01	0	0.04	0.02
Dnajc2	NA	0.21	0.17	0.15	0.16	0.09	0.08	0.17	0.11
Dnajc21	NA	0.28	0.23	0.23	0.22	0.17	0.07	0.23	0.15
Dnajc24	NA	0.42	0.23	0.3	0.37	0.09	0.09	0.39	0.21
Dnajc25	NA	0.36	0.35	0.32	0.37	0.09	0.11	0.33	0.26
Dnajc27	NA	0.03	0.08	0.05	0.05	0.12	0.04	0.08	0.07
Dnajc3	NA	0.11	0.07	0.07	0.07	0.06	0.07	0.06	0.09
Dnajc30	NA	0.06	0.08	0.07	0.1	0.04	0.04	0.11	0.05
Dnajc4	NA	0.07	0.05	0.05	0.03	0.07	0.03	0.07	0.03
Dnajc5	NA	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.02
Dnajc7	NA	0.18	0.15	0.18	0.15	0.09	0.12	0.15	0.12
Dnajc8	NA	0.17	0.17	0.16	0.18	0.07	0.15	0.16	0.11
Dnajc9	NA	0.16	0.18	0.12	0.16	0.08	0.1	0.15	0.11
Dnal4	NA	0.05	0.03	0.05	0.07	0.11	0.08	0.07	0.04
Dnase1l1	NA	0.08	0.07	0.06	0.08	0.03	0.1	0.06	0.06
Dnase2a	NA	0.54	0.46	0.39	0.59	0.03	0.13	0.4	0.3
Dnlz	NA	0.06	0.06	0.06	0.09	0.02	0.01	0.08	0.04
Dnm1l	NA	0.07	0.08	0.06	0.06	0.11	0.1	0.07	0.13
Dnm2	NA	0.12	0.14	0.12	0.1	0.25	0.25	0.1	0.18
Dnmbp	NA	0.23	0.34	0.35	0.27	0.82	0.53	0.41	0.54
Dnmt1	NA	0.2	0.29	0.27	0.22	0.69	0.97	0.16	0.26
Dnmt3a	NA	0.15	0.16	0.16	0.19	0.18	0.19	0.18	0.14
Dnmt3b	NA	0.22	0.41	0.22	0.19	0.2	0.1	0.09	0.28
Dnmt3l	NA	0.26	0.09	0.1	0.13	0.03	0.05	0.17	0.17
Dnpep	NA	0.1	0.09	0.1	0.09	0.12	0.49	0.13	0.08
Dnph1	NA	0.08	0.1	0.07	0.05	0.02	0.02	0.1	0.07
Dnttip1	NA	0.08	0.06	0.07	0.06	0.06	0.04	0.11	0.04
Dnttip2	NA	0.1	0.07	0.08	0.07	0.08	0.17	0.05	0.05
Dock10	NA	0.1	0.11	0.11	0.12	0.25	0.18	0.09	0.19
Dock11	NA	0.14	0.14	0.18	0.12	0.33	0.32	0.09	0.21
Dock2	NA	0.15	0.17	0.17	0.15	0.6	0.88	0.12	0.27
Dock5	NA	0.14	0.16	0.22	0.16	0.51	0.27	0.19	0.23
Dock6	NA	0.29	0.45	0.38	0.29	0.32	0.33	0.38	0.41
Dock7	NA	0.26	0.26	0.29	0.2	2.68	2.17	0.2	0.57
Dock8	NA	0.13	0.18	0.2	0.18	0.53	0.45	0.16	0.26
Dohh	NA	0.11	0.12	0.12	0.08	0.1	0.1	0.16	0.09
Dok1	NA	0.09	0.07	0.09	0.11	0.03	0.04	0.07	0.04
Dok2	NA	0.05	0.06	0.04	0.05	0.04	0.06	0.07	0.06
Dok3	NA	0.05	0.06	0.05	0.09	0.04	0.08	0.07	0.05
Dolk	NA	0.06	0.04	0.03	0.03	0.04	0.05	0.04	0.04
Dolpp1	NA	0.03	0.03	0.02	0.04	0.03	0.01	0.02	0.02
Donson	NA	0.09	0.14	0.11	0.1	0.15	0.1	0.11	0.1
Dop1a	NA	0.15	0.12	0.16	0.17	0.76	0.57	0.16	0.38
Dop1b	NA	0.16	0.22	0.27	0.29	0.72	0.47	0.4	0.54
Dot1l	NA	0.35	0.32	0.31	0.38	0.28	0.14	0.34	0.25
Dpagt1	NA	0.09	0.04	0.05	0.07	0.06	0.09	0.06	0.08
Dpf2	NA	0.04	0.06	0.03	0.05	0.07	0.11	0.04	0.05
Dph1	NA	0.12	0.16	0.16	0.16	0.39	0.58	0.14	0.11
Dph2	NA	0.07	0.1	0.07	0.07	0.16	0.21	0.15	0.11
Dph3	NA	0.06	0.04	0.04	0.05	0.02	0.02	0.09	0.07
Dph5	NA	0.12	0.09	0.14	0.1	0.06	0.09	0.08	0.07
Dph6	NA	0.16	0.17	0.17	0.18	0.14	0.27	0.23	0.26
Dph7	NA	0.02	0.04	0.04	0.04	0.06	0.05	0.06	0.03
Dpm3	NA	0.17	0.08	0.05	0.18	0.01	0.02	0.08	0.08
Dpp3	NA	0.1	0.16	0.15	0.13	0.18	0.34	0.12	0.12
Dpp4	NA	0.08	0	0.08	0.44	0.15	0.41	0.14	0.32
Dpp7	NA	0.03	0.04	0.03	0.04	0.02	0.05	0.03	0.04
Dpp8	NA	0.11	0.08	0.11	0.11	0.42	0.39	0.14	0.25
Dpp9	NA	0.14	0.2	0.19	0.15	0.35	0.47	0.14	0.18
Dpy19l1	NA	0.11	0.11	0.13	0.11	0.12	0.1	0.1	0.15
Dpy19l3	NA	0.1	0.1	0.11	0.12	0.15	0.03	0.09	0.09
Dpy19l4	NA	0.29	0.16	0.27	0.21	0.19	0.08	0.12	0.25
Dpy30	NA	0.03	0.01	0.01	0.02	0	0	0.01	0.01
Dpysl2	NA	0.22	0.23	0.25	0.22	0.06	0.21	0.2	0.13
Dram1	NA	0.03	0.02	0.03	0.05	0.07	0.04	0.05	0.06
Drap1	NA	0.22	0.19	0.18	0.22	0.03	0.05	0.2	0.11
Drg1	NA	0.07	0.06	0.06	0.08	0.03	0.05	0.04	0.03
Drg2	NA	0.09	0.07	0.07	0.07	0.05	0.22	0.08	0.07
Drosha	NA	0.16	0.21	0.19	0.17	0.42	0.21	0.22	0.31
Dscc1	NA	0.17	0.23	0.18	0.22	0.12	0.09	0.17	0.13
Dse	NA	0.1	0.14	0.1	0.12	0.13	0.03	0.07	0.09
Dsn1	NA	0.04	0.03	0.02	0.02	0.05	0.04	0.03	0.03
Dsp	NA	0.11	3.92	0.76	3.77	0.66	0.85	0.61	1.06
Dst	NA	0.55	0.47	0.61	0.25	0.05	0.02	0.21	0.31
Dstn	NA	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.02
Dstyk	NA	0.09	0.13	0.15	0.12	0.09	0.07	0.13	0.12
Dtd1	NA	0.15	0.1	0.13	0.09	0.07	0.22	0.16	0.11
Dtd2	NA	0.07	0.07	0.12	0.08	0.03	0.05	0.12	0.06
Dtl	NA	0.06	0.07	0.06	0.08	0.13	0.17	0.07	0.14
Dtnb	NA	0.08	0.06	0.06	0.08	0.2	0.26	0.09	0.07
Dtnbp1	NA	0.08	0.06	0.08	0.08	0.04	0.05	0.09	0.05
Dtwd1	NA	0.06	0.07	0.1	0.11	0.05	0.06	0.08	0.06
Dtx3l	NA	0.12	0.11	0.11	0.11	0.14	0.31	0.12	0.23
Dtx4	NA	0.04	0.04	0.05	0.03	0.13	0.1	0.07	0.11
Dtymk	NA	0.07	0.06	0.07	0.09	0.02	0.03	0.09	0.06
Dus1l	NA	0.1	0.12	0.12	0.11	0.07	0.11	0.1	0.07
Dus2	NA	0.13	0.1	0.14	0.06	0.1	0.12	0.09	0.1
Dus3l	NA	0.09	0.11	0.12	0.09	0.19	0.21	0.11	0.1
Dus4l	NA	0.17	0.06	0.09	0.1	0.18	0.15	0.13	0.08
Dusp1	NA	0.05	0.06	0.1	0.03	0.07	0.03	0.04	0.05
Dusp11	NA	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.04
Dusp12	NA	0.06	0.08	0.06	0.08	0.03	0.02	0.06	0.03
Dusp19	NA	0.19	0.14	0.11	0.12	0.03	0.04	0.07	0.13
Dusp2	NA	0.05	0.04	0.08	0.04	0.05	0.05	0.1	0.05
Dusp22	NA	0.14	0.15	0.11	0.11	0.06	0.05	0.16	0.08
Dusp23	NA	0.14	0.18	0.15	0.14	0.04	0.01	0.18	0.25
Dusp6	NA	0.05	0.03	0.03	0.1	0.05	0.05	0.05	0.06
Dut	NA	0.28	0.28	0.25	0.28	0.07	0.07	0.28	0.17
Dvl1	NA	0.05	0.05	0.08	0.06	0.14	0.08	0.09	0.08
Dvl2	NA	0.17	0.13	0.13	0.13	0.38	0.35	0.22	0.14
Dvl3	NA	0.15	0.18	0.15	0.21	1.22	0.85	0.19	0.37
Dxo	NA	0.1	0.04	0.03	0.09	0.03	0.07	0.07	0.07
Dym	NA	0.09	0.13	0.15	0.12	0.69	1.03	0.17	0.31
Dync1h1	NA	0.88	1.33	1.18	1.05	0.42	0.74	0.81	0.6
Dync1i2	NA	0.31	0.31	0.27	0.28	0.22	0.35	0.25	0.23
Dync1li1	NA	0.18	0.21	0.19	0.19	0.15	0.2	0.17	0.16
Dync1li2	NA	0.1	0.11	0.09	0.1	0.15	0.12	0.1	0.11
Dync2h1	NA	0.18	0.2	0.29	0.24	0.23	0.16	0.14	0.21
Dync2li1	NA	0.22	0.16	0.18	0.14	0.07	0.09	0.09	0.08
Dynll1	NA	0.15	0.11	0.08	0.11	0.02	0.06	0.13	0.09
Dynlrb1	NA	0.06	0.04	0.03	0.05	0.01	0.01	0.05	0.02
Dynlt3	NA	0.04	0.02	0.05	0.05	0.03	0.05	0.02	0.02
Dyrk1a	NA	0.11	0.09	0.1	0.1	0.24	0.11	0.11	0.13
Dyrk2	NA	0.03	0.06	0.05	0.05	0.03	0.01	0.05	0.03
Dyrk3	NA	0.15	0.08	0.09	0.07	0.32	0.19	0.07	0.14
Dzip3	NA	0.24	0.23	0.17	0.39	0.42	0.45	0.13	0.3
E130308A19Rik	NA	0.03	0.05	0.13	0.06	0.2	0.05	0.09	0.15
E130309D02Rik	NA	0.06	0.04	0.03	0.03	0.12	0.06	0.04	0.06
E130311K13Rik	NA	0.1	0.2	0.14	0.17	0.12	0.06	0.19	0.14
E2f1	NA	0.03	0.03	0.05	0.05	0.06	0.04	0.07	0.05
E2f2	NA	0.04	0.02	0.03	0.04	0.05	0.04	0.04	0.05
E2f3	NA	0.13	0.09	0.1	0.1	0.08	0.03	0.12	0.07
E2f4	NA	0.03	0.03	0.04	0.03	0.12	0.09	0.06	0.05
E2f6	NA	0.03	0.03	0.02	0.02	0.12	0.16	0.05	0.05
E2f7	NA	0.12	0.11	0.11	0.13	0.23	0.21	0.13	0.33
E2f8	NA	0.12	0.12	0.14	0.13	0.42	0.21	0.19	0.31
E330009J07Rik	NA	0.05	0.07	0.07	0.05	0.08	0.06	0.07	0.13
E4f1	NA	0.09	0.15	0.15	0.14	0.19	0.15	0.11	0.14
Eaf1	NA	0.04	0.03	0.03	0.04	0.08	0.03	0.03	0.06
Eapp	NA	0.1	0.09	0.08	0.09	0.02	0.03	0.09	0.04
Ear2	NA	0.27	1.16	0.47	0.32	0.03	0.34	0.14	0.39
Ears2	NA	0.16	0.17	0.14	0.1	0.08	0.18	0.17	0.14
Ebag9	NA	0.2	0.17	0.17	0.17	0.17	0.07	0.21	0.13
Ebna1bp2	NA	0.1	0.07	0.06	0.08	0.02	0.07	0.08	0.06
Ebp	NA	0.08	0.05	0.07	0.08	0.03	0.06	0.07	0.05
Ebpl	NA	0.2	0.13	0.11	0.23	0.02	0.01	0.1	0.06
Ecd	NA	0.1	0.1	0.11	0.08	0.15	0.19	0.09	0.07
Ece1	NA	0.42	0.67	0.49	0.65	0.6	0.73	0.71	1.83
Ech1	NA	0.04	0.03	0.04	0.04	0.03	0.13	0.05	0.03
Echdc1	NA	0.59	0.39	0.66	0.43	1.29	23.84	0.36	1.46
Echs1	NA	0.14	0.16	0.17	0.16	0.05	0.12	0.13	0.1
Eci1	NA	0.09	0.11	0.1	0.12	0.04	0.2	0.1	0.06
Eci2	NA	0.06	0.05	0.04	0.05	0.04	0.1	0.05	0.05
Ecm1	NA	0.24	0.37	0.28	0.24	0.19	0.62	0.21	0.25
Ecpas	NA	0.14	0.15	0.19	0.17	0.31	0.28	0.19	0.27
Ecsit	NA	0.17	0.2	0.12	0.14	0.13	0.19	0.12	0.09
Ect2	NA	0.11	0.11	0.11	0.13	0.42	0.27	0.13	0.21
Edc3	NA	0.06	0.04	0.05	0.05	0.17	0.12	0.09	0.08
Edc4	NA	0.08	0.11	0.1	0.09	0.11	0.2	0.08	0.16
Edem1	NA	0.04	0.04	0.04	0.04	0.06	0.06	0.03	0.06
Edem2	NA	0.08	0.11	0.11	0.07	0.15	0.25	0.12	0.1
Edem3	NA	0.13	0.12	0.1	0.11	0.17	0.11	0.09	0.31
Edf1	NA	0.12	0.1	0.07	0.09	0.01	0.06	0.1	0.06
Edrf1	NA	0.17	0.18	0.12	0.14	0.17	0.12	0.1	0.16
Eea1	NA	0.39	0.32	0.36	0.38	0.21	0.25	0.34	0.49
Eed	NA	0.14	0.11	0.09	0.11	0.09	0.08	0.09	0.07
Eef1a1	NA	0.09	0.08	0.08	0.07	0.02	0.04	0.06	0.04
Eef1akmt1	NA	0.18	0.17	0.14	0.15	0.04	0.12	0.17	0.12
Eef1akmt2	NA	0.13	0.11	0.13	0.12	0.04	0.02	0.1	0.07
Eef1aknmt	NA	0.1	0.07	0.09	0.08	0.15	0.17	0.1	0.12
Eef1b2	NA	0.81	0.72	0.7	0.58	0.04	0.06	0.66	0.3
Eef1d	NA	0.42	0.35	0.35	0.35	0.05	0.11	0.37	0.19
Eef1e1	NA	0.07	0.03	0.02	0.04	0.01	0.01	0.02	0.03
Eef1g	NA	0.34	0.35	0.32	0.3	0.07	0.13	0.34	0.18
Eef2	NA	0.4	0.46	0.47	0.31	0.15	0.27	0.45	0.24
Eef2k	NA	0.1	0.16	0.13	0.12	0.2	0.22	0.12	0.14
Eef2kmt	NA	0.12	0.09	0.07	0.08	0.07	0.08	0.1	0.09
Eefsec	NA	0.06	0.05	0.05	0.05	0.1	0.19	0.05	0.05
Eepd1	NA	0.07	0.12	0.09	0.08	0.08	0.2	0.07	0.08
Efcab11	NA	0.1	0.06	0.08	0.1	0.06	0.01	0.1	0.05
Efcab14	NA	0.13	0.07	0.1	0.09	0.33	0.17	0.12	0.25
Efhd2	NA	0.12	0.13	0.11	0.11	0.09	0.1	0.14	0.11
Efl1	NA	0.18	0.14	0.18	0.15	0.23	0.3	0.14	0.13
Efr3a	NA	0.04	0.04	0.04	0.03	0.09	0.07	0.03	0.06
Eftud2	NA	0.1	0.12	0.12	0.09	0.14	0.28	0.08	0.1
Egfl7	NA	0.11	0.12	0.27	0.19	0.02	0.01	0.1	0.11
Egln1	NA	0.09	0.05	0.07	0.06	0.13	0.09	0.09	0.08
Egln2	NA	0.03	0.02	0.03	0.02	0.03	0.03	0.04	0.03
Egln3	NA	0.09	0.03	0.05	0.04	0.11	0.06	0.09	0.1
Egr1	NA	0.03	0.06	0.19	0.04	0.13	0	0.05	0.07
Ehbp1l1	NA	0.16	0.21	0.15	0.2	0.19	0.12	0.25	0.21
Ehd1	NA	0.23	0.26	0.2	0.28	0.18	0.28	0.24	0.29
Ehd4	NA	0.05	0.07	0.06	0.06	0.08	0.13	0.07	0.08
Ehhadh	NA	0.13	0.14	0.24	0.16	0.32	0.94	0.21	0.14
Ehmt1	NA	0.17	0.16	0.17	0.14	0.24	0.13	0.21	0.19
Ehmt2	NA	0.29	0.34	0.31	0.28	0.24	0.21	0.37	0.23
Ei24	NA	0.03	0.02	0.04	0.03	0.08	0.06	0.05	0.04
Eid1	NA	0.09	0.1	0.12	0.11	0.05	0.07	0.17	0.14
Eif1	NA	0.05	0.05	0.05	0.04	0.01	0.01	0.03	0.02
Eif1a	NA	0.11	0.07	0.07	0.07	0.07	0.09	0.05	0.06
Eif1ad	NA	0.05	0.04	0.05	0.04	0.04	0.02	0.06	0.05
Eif1ax	NA	0.13	0.08	0.11	0.11	0.03	0.03	0.11	0.08
Eif1b	NA	0.14	0.12	0.12	0.14	0.03	0.06	0.17	0.09
Eif2a	NA	0.04	0.04	0.06	0.05	0.04	0.05	0.04	0.06
Eif2ak1	NA	0.09	0.1	0.11	0.09	0.2	0.23	0.1	0.12
Eif2ak2	NA	0.13	0.07	0.07	0.1	0.11	0.09	0.09	0.13
Eif2ak3	NA	0.36	0.31	0.36	0.39	0.46	0.17	0.31	0.49
Eif2ak4	NA	0.22	0.17	0.24	0.23	0.46	0.24	0.24	0.36
Eif2b1	NA	0.14	0.12	0.12	0.11	0.12	0.44	0.12	0.11
Eif2b2	NA	0.1	0.1	0.08	0.09	0.07	0.17	0.1	0.08
Eif2b3	NA	0.15	0.14	0.12	0.1	0.08	0.26	0.09	0.08
Eif2b4	NA	0.17	0.09	0.11	0.11	0.07	0.08	0.15	0.09
Eif2b5	NA	0.11	0.08	0.11	0.09	0.11	0.11	0.1	0.07
Eif2d	NA	0.08	0.08	0.12	0.08	0.24	0.18	0.14	0.12
Eif2s1	NA	0.12	0.11	0.1	0.13	0.16	0.46	0.11	0.12
Eif2s2	NA	0.09	0.05	0.07	0.06	0.02	0.03	0.06	0.04
Eif2s3x	NA	0.23	0.21	0.24	0.21	0.07	0.09	0.22	0.16
Eif2s3y	NA	0.09	0.12	0.11	0.12	0	0	0	0
Eif3a	NA	0.4	0.38	0.38	0.3	0.19	0.29	0.26	0.19
Eif3b	NA	0.17	0.22	0.19	0.16	0.21	0.36	0.2	0.17
Eif3c	NA	0.24	0.21	0.23	0.18	0.18	0.4	0.18	0.17
Eif3d	NA	0.06	0.07	0.05	0.05	0.03	0.09	0.05	0.04
Eif3e	NA	0.12	0.08	0.09	0.09	0.03	0.08	0.09	0.07
Eif3f	NA	0.21	0.22	0.25	0.19	0.03	0.07	0.15	0.07
Eif3g	NA	0.23	0.29	0.2	0.2	0.07	0.17	0.22	0.14
Eif3h	NA	0.17	0.13	0.13	0.13	0.08	0.21	0.18	0.15
Eif3i	NA	0.17	0.14	0.12	0.12	0.03	0.08	0.15	0.1
Eif3k	NA	0.28	0.22	0.21	0.2	0.03	0.06	0.21	0.13
Eif3l	NA	0.08	0.07	0.06	0.06	0.07	0.16	0.06	0.08
Eif3m	NA	0.11	0.07	0.08	0.08	0.03	0.06	0.07	0.04
Eif4a1	NA	0.08	0.09	0.07	0.08	0.05	0.18	0.07	0.06
Eif4a2	NA	0.17	0.15	0.15	0.2	0.06	0.04	0.15	0.1
Eif4a3	NA	0.08	0.08	0.08	0.08	0.05	0.08	0.07	0.05
Eif4b	NA	0.33	0.3	0.36	0.26	0.15	0.11	0.37	0.26
Eif4e	NA	0.12	0.09	0.1	0.1	0.09	0.14	0.1	0.11
Eif4e2	NA	0.18	0.16	0.14	0.14	0.11	0.3	0.19	0.15
Eif4e3	NA	0.04	0.06	0.06	0.05	0.02	0.03	0.05	0.04
Eif4ebp1	NA	0.05	0.03	0.03	0.03	0.02	0.04	0.05	0.02
Eif4ebp2	NA	0.15	0.19	0.22	0.18	0.07	0.05	0.14	0.12
Eif4enif1	NA	0.18	0.14	0.19	0.14	0.26	0.11	0.18	0.28
Eif4g1	NA	0.27	0.28	0.29	0.21	0.39	0.44	0.17	0.2
Eif4g3	NA	0.16	0.17	0.21	0.15	0.37	0.31	0.2	0.21
Eif4h	NA	0.04	0.05	0.05	0.04	0.03	0.04	0.03	0.02
Eif5	NA	0.07	0.08	0.1	0.07	0.1	0.08	0.08	0.08
Eif5a	NA	0.03	0.04	0.04	0.03	0.01	0.04	0.04	0.03
